search_term,natural_language,counts,directionality,search_term_source,category,keep_term,directionality_conflict,ltr_languages,rtl_languages
dyjiklums vïrudzijos,ltg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитальные гуманитарии,koi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kukanda ya dijitáli,kmb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ಡಿಜಿಟಲ್ ಮಾನವಿಕಗಳು,kn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ಡಿಜಿಟಲ್ ಮಾನವಿಕ,kn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ಡಿಜಿಟಲ್ ಮನಸ್ಸ್ವಿನಿಕೆ,kn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kuɗumɛŋɛ kpalimɛ,knf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
muhumani digitana,knf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digtal bhumika,knn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
디지털 인문학,ko,1,ltr,Digital Humanities,COMPLETE_CONSENSUS,True,False,,
цифровӧй гуманитарнӧй наукаэз,koi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифраӧн гуманитарӧн,koi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифраа гуманитарнӧй наукаэз,koi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитальны жанарылама,koi,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
សាម្ពរទីធំដិផ្នែក,km,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digtitala manushyavishva vignan,kok,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ಜಿಡಿಟಲ್ ಮನವಾದತೆ,kok,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
sikrihk pahpah met,kos,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kamalit kastom bilong teknoloji,kos,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mwan'wun e-lōk,kos,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale huumaniyatu,kos,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kɔlɔŋ kpɛlɛɛ kpɛlɛɛ,kpe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kpɛlɛɛ kpɔŋ kɔlɔŋ kɛɛ,kpe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
gbe'e ŋbɔŋ ŋbɔŋ,kpe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
gbiyaa luyan-dunyea,kpe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
libertye digitali,kpe,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanismu wa dijitale,kmb,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
សាស្រ្តជំនុំដែលមានទឹកពិភាក្សា,km,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital danƙwai,kr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
nukissut atuarfik,kl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрен хальмг улус,kjh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
диджиталдүл хуманитарыялык дамуулар,kjh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
сандық гуманитарлық ғылымдар,kk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрлі гуманитарлық зерттеулер,kk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
диджиталдық ғылымдар,kk,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kakɔmɛnɛtɩkɩ ɖɔmɛnɛsɩ,kkj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dhigitali nanu,kkj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitalimik inuiaqatigiinnik ilisimatusarneq,kl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
inuiaqqat ilinniartitaanerat digitaliusut,kl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitaliusi humaniora,kl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
atuakkiortut inuiaqatigiit,kl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ileqqortuunikuut,kl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
វិជ្ជាជីវៈឌីជីថល,km,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale mímanngittiteqatigiissuseqatigissarneqqutit,kl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
sinendet ak teknolojisiek,kln,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
nyakaloliatab kibindab kompyuta,kln,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kibendo ne biktaab,kln,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tunaweza kijamii,kln,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
koomosik kitala,kln,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kipinyezi ya kimutaa digital,kln,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
husika na uchumi digita,kln,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
មនុស្សវិទ្យាឌីជីថល,km,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
មនុស្ससាស្ត្រឌីជីថល,km,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
វិទ្យាសាស្ត្រដែលមានប្រព័ន្ធ,km,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital al'adun mutanen,kr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tɔmɛrɛnɛ dɪjɪtɑl,kr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
цифралы гуманитарлыг ӱгреніглер,kjh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitaal humaniß,ksh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ufundi wa kibinadamu wa dijiti,ksb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kha'gri sha'naga,ksb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
𐓛𐓘𐓛𐓙𐓛 𐓛𐓘𐓛𐓙𐓛𐓣𐓛𐓘𐓛𐓙𐓛,ksb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dzindabandabu,ksb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
bɛ́ɛ́ mɛ́nɛ́ nkɔ́ŋ nkɔ́ŋ,ksf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mɛ̀yɔ́mɛ̀ ká sɔ́kɔ́,ksf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ndiŋgɛl ŋgɛl-ŋgɛl,ksf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ndipet ọkpa afiọwet,ksf,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digital huhmannaade,ksh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijjitahl jeisteswesseschaffe,ksh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijitale minscheweßeschaff,ksh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale mänschlekenwisskapse,ksh,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
திக்கு மென் அறிவியல்,kru,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
زانستە مرۆڤییە دیجیتاڵەکان,ku,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mirovnasîya dîjîtal,ku,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
bingehînên dijîtî,ku,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
nermalîya dijîtal,ku,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dewitali jiyanî,ku,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
مدیریتی نوعی های دیجیتال,ku,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
санлы инсанлыкъ,kum,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
санатлы гуманитарлыкъ,kum,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитал тарих,kum,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитал инсанлушлуг,kum,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
диджиталджа гуманитариялар,kum,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
మాద్యమిక మనవసీయతలు,kru,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitali humanitietit,krl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dìjital ìyàlàm,kr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
demɔri humɔniti,kri,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaj ḥamānyar,kr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanitisi digitaal,kr,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
цифровой гуманитаристика,krc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
санариат гуманитар илмула,krc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
санлы адамны игилиги,krc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифра гуманитар билимле,krc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитал къуллугъат,krc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
хэл һызылык,krc,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
di digital humanitis,kri,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital yumanti,kri,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digidal huminaitis,kri,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitale humanistike,kri,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaalihumanistika,krl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
diguil humanitizem,kri,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mga kaalamhan digital,krj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital na mga dakilang sining,krj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mga pag-aram hin sang digital nga kasaysayan,krj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kilalang digital,krj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaaline humanistiikka,krl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitualini humanitarni tieteh,krl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitaalizet humanitiedot,krl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitaalizet humanitietiet,krl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitaaline humanitarižed tiedotehtendat,krl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
digitaalhumanistinen tiento,krl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
сибир культураларының цифров технологиялары,kjh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифралығ гуманитарлығ наукалар,kjh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
liggol naange,fuq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mvuto wa simu,kde,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
a̱lyiat a̱di̱ji̱ta,kcg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kwiakwop akaan,kcg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kwanbuɗi ɗi-jannu,kcg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дигиталні хуманітарныя,kcg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
budijitali bwe vunhu,kck,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
didjithali hhumanithizi,kck,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tlhakanelo la digital,kck,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
buhali bya dijithale,kck,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
muhumhatshwanhu tichitsoyezwe,kck,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ingubo yomhlope,kck,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
makala ya kifasihi cha digitali,kde,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ingawa na teknolojia ya dhiki,kde,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
кырым энэт,kca,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kʉy kʉy tɛm ɔkɛlɛ,kdt,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijitaal hümäni'tii,kdt,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digiital nātive studējumi,kdt,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanidadis dijital,kea,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanidadi dijital,kea,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanidades dijital,kea,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kɛmɛlɛ wɔnɔ kɛrɛ,ken,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
këngë-digjitale,ken,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
teknologi sains manusia di-digital,ken,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ڊجيٽل هيومينٽيز,kfr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ક્ષેત્રી મનસોવુંશ,kfr,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
a̱humanities a̱digital,kcg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
дигиталы дүнөмий,kca,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
malongi ma nkembo ya dizhitale,kg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
цифрэрэ гуманитарнэ лъэпкъыгъуэхэр,kbd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
husika na uchaguzi digitali,kam,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kha'xoŋa kha'xoŋa tsa'xoŋa,kao,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digitaal ìsàwòrò,kao,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digiitali himnainsi,kao,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᬤᬶᬚᬶᬢ᭄ᬮ᭄ ᬳᬸᬫᬦ᭄ᬢ,kaw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
saṅkhyāyantra vidyā,kaw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital manuṣaśāstra,kaw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
bhuwita manusa,kaw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
wimang'u mwanafasi nyota,kaw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
wangsa sastra manusia,kaw,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
цифровэ гуманитар щiэныгъэхэр,kbd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифрэ гуманитарнэ щӏэныгъэхэр,kbd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигиталлы гуманитарлы пакăр,kca,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
адыгэм хьэрыпс,kbd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигитал щӏыбцӏэр,kbd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
дигиталны адыгэхэр,kbd,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
kəlmə dijital,kbl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
tɔmɛnɛ dɛ wɔrɔ,kbl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijiital ìyàl,kbl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
nrwàk n ìtérèndà díjìlòk,kbl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
teknoloji ya njambi,kbl,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифровой гуманитарный наукаяӈ,kca,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифра юнтас,kca,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
köpäkäšaŋiŋ külä,kca,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
bantu ya dijital,kg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanities ya kielektroniki,kg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
санал гуманитар наукалар,kjh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
rêjînara hunerya dîjîtal,kiu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
دیجیټل هنسنۍ,khw,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
حیوانتک دیجیٹل,khw,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ũhoro wa dijitali,ki,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ũmũndũ wa kĩĩtaratara,ki,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ũhoro wa andũ na tekinorojĩ,ki,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
muhimmiyani digitini,ki,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
husika wa diguita,ki,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijîtal insanîyet,kiu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanîteyê dîjîtalî,kiu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
zanistên dîjîtal ên mirovî,kiu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dijital beşerî ilimler,kiu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
هۆکمەتی چوورکانار,kiu,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ڈیجیٹل انسایکلوپیڈیا,khw,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
oundjolowele dhomapangelo,kj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
omandjelelo gopadigital,kj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ouhamba wondjokonona yokutunga,kj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tjihoka ya digital,kj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
maaŋi-ŋuŋi ŋwē,kj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humanitáis digitális,kj,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ດິຈິຕອນ ມະນຸດສາດ,kjg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ປຶ້ມດິຈິຕອນ,kjg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ʔɛm kʰuːm tɕiˈkʰaːn,kjg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
nvam laj huaet,kjg,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифралығ гуманитарлық,kjh,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
دیجیٹل انسانيات,khw,1,rtl,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ကုမပါတာ သားသားအစိုးရ,kht,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mambu ya nsiku ya kintu ya mbanza,kg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᦡᦲᦈᦲᧆᦷᦎᦟᦉᦲᧃᦓᦱᦉᦱᦉᧆ,khb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
mbumi ya nkisi,kg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mabanga ya zongisa,kg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
sikristelemba ya-intanbi,kg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mbongo ya digitali,kg,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tỹ vẽnh kar ag tỹ,kgp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kagngang kãmãgã,kgp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tetxã kĩra,kgp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
kâñĩwĩ ĩrõwĩ,kgp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
xwesuva ñi pevakupi,kgp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
humano digitais,kgp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᦑᦸᧂᦑᦸᧃᦑᦸᧄᦑᦸᧅ,khb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ᦵᦣᧆᦉᦱᧂᧉᦡᦲᦈᦲᧆᦵᦟᧅᦎᦱᦡᦲᦞᦲᧉᦋᦱᧂᧈ,khb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ၼႃႉၵၢၼ်ၵႂၢမ်းဢၼ်ၵျႅၵ်ႉၵျႅၵ်ႉ,kht,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ᥖᥫᥒ᥎ᥕ ᥛᥝᥢᥨ,khb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ផ្សារដីបន្ទេសិកល្បង,khb,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
laakali boŋ-izayyaŋ,khq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijitali adamay kaaru,khq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tiwɛrɛtɛnɛ tɔmɔrɛ,khq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital ŋaamŋ,khq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digiital xumanitiyaa,khq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
taasikka jilaabu,khq,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ဒီဂျီတယ် မၞုၐ်ႇသႃႇသ်တ်ႇ,kht,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ดิจิทัลฮิวแมนนิตี้,kht,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
ၽိၼ်ႇ ၸဝ်ႈ ၶူပ်,kht,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
dijital adamliklar,kum,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифровӧй гуманитарнӧй наукаяс,kv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
цифра войтырлысь тӧдӧмлунъяс,kv,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
wičháša wakȟáŋya wóžuŋtká wičháša,lkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ŋiŋgirrųmala,lki,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
tēnuma tangata,lki,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
mafutadigitali,lki,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digital humanitets,lki,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
wíyukčaŋ owáŋkaŋkapi,lkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
wíčhožaŋžaŋ wóuŋspe,lkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
wóuŋspe tȟáŋka wičhóuŋspe tȟáŋka,lkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
wóuŋspe tȟokáheya wóuŋspe,lkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
wakíčhaye wiŋ-okíyapi,lkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
oyúȟaŋpi óglála,lkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
wiciyeyapi wašáši,lkt,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanistiches digiteles,lld,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
teknologi digital manusia,ljp,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanistics digitales,lld,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanitês digitela,lld,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanistiches digitei,lld,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
umanitàs digitalis,lld,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
dinèrtal humànt,lld,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
humanitats digitales,lld,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
డిజిటల్ మానవత్వం,lmn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
ज्ञान वा संस्कृति,lmn,1,ltr,Digital Humanities,TRANSMOGRIFICATION,True,False,,
informatega umanistega,lmo,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True,False,,
umanistega digitai,lmo,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True,False,,
umanìstega digitál,lmo,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True,False,,
دیجیتاڵ مرۆڤایەتی,lki,1,rtl,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
digiitilise adamiteed,liv,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
umanitade digital,lmo,1,ltr,Digital Humanities,PRODUCTIVE_DISAGREEMENT,True,False,,
sxʷqʷeləm tənəc,lil,1,ltr,Digital Humanities,STRUCTURAL_ABSENCE,True,False,,
